Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE16899,14487,Gallonboy,,,53.8986,-6.8543
IE16900,14488,Seefin,Bailieborough Road,,53.9339,-7.0912
IE16901,14489,Seefin,Bailieborough Road,,53.9339,-7.0916
IE16902,14490,Moylett,Bailieborough Road,,53.9415,-7.1256
IE16903,14491,Moylett,Bailieborough Road,,53.9416,-7.1256
IE16904,14492,Lisball,Kingscourt Road,,53.9272,-6.9388
IE16905,14493,Lisball,Kingscourt Road,,53.927,-6.9388
IE16906,14494,Loreto College,,,54.0143,-7.3723
IE16907,14495,Taghart South,Bailieborough Road,,53.9326,-6.8843
IE16908,14496,Taghart South,Bailieborough Road,,53.9325,-6.8843
IE16909,14497,Tanderagee,,,53.9178,-6.9753
IE16910,14498,Tanderagee,Cavan Road,,53.9178,-6.9757
IE16911,14499,Drumbannan,,,53.921,-6.9802
IE16912,14500,Drumbannan,Cavan Road,,53.9204,-6.9801
IE16913,14501,An Tor Aonarach,Rocks Road,,53.906,-6.8147
IE16914,14502,An Tor Aonarach,Rocks Road,,53.9058,-6.8151
IE16915,14586,Bailieborough,,,53.9172,-6.9714
IE16916,14587,Bailieborough,Main Street,,53.9171,-6.9716
IE16917,14721,Bailieborough,,,53.9176,-6.9687
IE16918,15124,The Gallops,Cathedral Road,,54.0136,-7.3625
IE16919,11263,Cockhill Road,,Cockhill Road,55.1384,-7.4559
IE16920,853000005,Church Brae,,Church Brae,55.0737,-7.4455
IE16921,12384,An Fál Carrach,,Falcarragh,55.1369,-8.1017
IE16922,14602,An Fál Carrach,,Falcarragh,55.1363,-8.1051
IE16923,13572,Baile na Finne,,Fintown,54.8682,-8.1243
IE16924,13573,Baile na Finne,,Fintown,54.8681,-8.1243
IE16925,853000015,Donegal Garda Stn,,,54.6509,-8.1117
IE16926,11220,Bundoran Centre,,,54.478,-8.2799
IE16927,11268,Bridgend,,Bridgend,55.0418,-7.3813
IE16928,11269,Bridgend,,Bridgend,55.0418,-7.3811
IE16929,13574,An Bun Beag,,,55.0609,-8.3006
IE16930,12385,An Bun Beag,,,55.064,-8.3001
IE16931,853000026,Burnfoot,,Burnfoot,55.0573,-7.4043
IE16932,132481,Ballyshannon,,Bus Station Ballyshannon,54.501,-8.1898
IE16933,13576,Creeslough,,,55.123,-7.9091
